blockchain,num_swaps,period,unique_swap_addresses,volume
optimism,13099,2025-05-06 00:00:00.000 UTC,1861,339197.7954144585
base,81255,2025-06-01 00:00:00.000 UTC,14640,5397986.066051893
bnb,7094,2025-02-14 00:00:00.000 UTC,2564,299539.28801713407
polygon,77,2025-01-29 00:00:00.000 UTC,14,319.8702835170943
zora,48,2025-04-17 00:00:00.000 UTC,15,309.1479051671439
polygon,9,2025-01-23 00:00:00.000 UTC,4,4.550237069229208
worldchain,42490,2025-03-25 00:00:00.000 UTC,31,2259.382426422994
base,49012,2025-02-25 00:00:00.000 UTC,8652,5629506.806853742
ethereum,15422,2025-05-06 00:00:00.000 UTC,4674,126934388.85170202
optimism,9680,2025-02-11 00:00:00.000 UTC,944,148085.34031544908
unichain,174318,2025-05-22 00:00:00.000 UTC,6251,460677871.34075683
unichain,4129,2025-03-18 00:00:00.000 UTC,1378,93351.90494953998
bnb,8257,2025-04-19 00:00:00.000 UTC,2972,422018.2080188639
avalanche_c,2586,2025-03-06 00:00:00.000 UTC,535,27751.147911493452
optimism,9787,2025-04-04 00:00:00.000 UTC,1493,347830.76367585245
unichain,7030,2025-02-20 00:00:00.000 UTC,3777,474864.1458081124
ethereum,18420,2025-05-25 00:00:00.000 UTC,5523,156869180.40549472
worldchain,41237,2025-04-19 00:00:00.000 UTC,99,7229.719728884772
blast,26,2025-05-20 00:00:00.000 UTC,12,2.4266606145458987
optimism,15296,2025-05-25 00:00:00.000 UTC,2179,761583.0931705612
arbitrum,26176,2025-03-21 00:00:00.000 UTC,2748,6960211.901932981
avalanche_c,953,2025-03-27 00:00:00.000 UTC,329,12429.20110236805
blast,50,2025-05-26 00:00:00.000 UTC,15,3.136610864082548
base,7275,2025-01-30 00:00:00.000 UTC,26,842194.6970145993
ethereum,3,2025-01-28 00:00:00.000 UTC,2,200.06579899967102
base,45301,2025-03-29 00:00:00.000 UTC,8161,3244220.339718711
optimism,8406,2025-04-10 00:00:00.000 UTC,1108,144517.60730881497
ethereum,8874,2025-03-15 00:00:00.000 UTC,4229,7317632.8913488425
polygon,38439,2025-04-23 00:00:00.000 UTC,4847,4075206.3206950645
arbitrum,22777,2025-02-17 00:00:00.000 UTC,1178,6602933.740779053
unichain,3560,2025-02-15 00:00:00.000 UTC,1300,102705.82330369652
avalanche_c,1254,2025-03-01 00:00:00.000 UTC,386,11392.096771321574
worldchain,28708,2025-04-14 00:00:00.000 UTC,62,4790.352222527784
worldchain,9971,2025-03-13 00:00:00.000 UTC,20,182.8450794757047
unichain,3570,2025-03-12 00:00:00.000 UTC,564,160119.87966106512
ethereum,18188,2025-04-16 00:00:00.000 UTC,5602,189962635.53191462
worldchain,51383,2025-05-29 00:00:00.000 UTC,201,11718.69921831507
worldchain,38079,2025-05-10 00:00:00.000 UTC,129,9215.801957544936
optimism,14,2025-01-28 00:00:00.000 UTC,8,2.2483702100208003
arbitrum,37649,2025-05-06 00:00:00.000 UTC,3353,19423903.580391854
arbitrum,32208,2025-03-09 00:00:00.000 UTC,1958,15011677.556356959
polygon,23647,2025-04-17 00:00:00.000 UTC,4846,2295295.0959145194
avalanche_c,3730,2025-05-16 00:00:00.000 UTC,595,61029.79385157638
ethereum,19044,2025-05-30 00:00:00.000 UTC,6479,448872277.238135
blast,34,2025-03-31 00:00:00.000 UTC,23,3.348078682882485
zora,12,2025-05-31 00:00:00.000 UTC,1,14.694404275852918
unichain,25710,2025-04-19 00:00:00.000 UTC,4918,62416413.398390315
base,113211,2025-05-12 00:00:00.000 UTC,16461,35246325.5580125
optimism,9312,2025-02-17 00:00:00.000 UTC,786,171732.8199623337
